"taxonLabel","uberonLabel","upp_label","uoo_label"
"Aves","telencephalic song nucleus HVC","has part","independent continuant"
"Aves","telencephalic song nucleus HVC","has_part","independent continuant"
"Aves","telencephalic song nucleus HVC","has part","anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","continuant"
"Aves","telencephalic song nucleus HVC","has_part","continuant"
"Aves","telencephalic song nucleus HVC","has part","material entity"
"Aves","telencephalic song nucleus HVC","has_part","material entity"
"Aves","telencephalic song nucleus HVC","has part","anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","gray matter"
"Aves","telencephalic song nucleus HVC","has_part","gray matter"
"Aves","telencephalic song nucleus HVC","has part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has_part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","electron"
"Aves","telencephalic song nucleus HVC","has_part","electron"
"Aves","telencephalic song nucleus HVC","has part","proton"
"Aves","telencephalic song nucleus HVC","has_part","proton"
"Aves","telencephalic song nucleus HVC","has part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has_part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has_part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has_part","atom"
"Aves","telencephalic song nucleus HVC","has part","molecule"
"Aves","telencephalic song nucleus HVC","has_part","molecule"
"Aves","telencephalic song nucleus HVC","has part","cellular_component"
"Aves","telencephalic song nucleus HVC","has_part","cellular_component"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","chemical entity"
"Aves","telencephalic song nucleus HVC","has_part","chemical entity"
"Aves","telencephalic song nucleus HVC","has part","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","has part","entity"
"Aves","telencephalic song nucleus HVC","has_part","entity"
"Aves","telencephalic song nucleus HVC","has part","ion"
"Aves","telencephalic song nucleus HVC","has_part","ion"
"Aves","telencephalic song nucleus HVC","has part","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","has part","hydron"
"Aves","telencephalic song nucleus HVC","has_part","hydron"
"Aves","telencephalic song nucleus HVC","has part","monoatomic cation"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic cation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic ion"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic ion"
"Aves","telencephalic song nucleus HVC","has_part","inorganic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic cation"
"Aves","telencephalic song nucleus HVC","has_part","inorganic cation"
"Aves","telencephalic song nucleus HVC","has part","cation"
"Aves","telencephalic song nucleus HVC","has_part","cation"
"Aves","telencephalic song nucleus HVC","has part","neuronal cell body"
"Aves","telencephalic song nucleus HVC","has_part","neuronal cell body"
"Aves","telencephalic song nucleus HVC","has part","cell body"
"Aves","telencephalic song nucleus HVC","has_part","cell body"
"Aves","telencephalic song nucleus HVC","has part","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","has_part","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","has part","molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","molecular entity"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has_part","atom"
"Aves","telencephalic song nucleus HVC","has part","multi cell part structure"
"Aves","telencephalic song nucleus HVC","has_part","multi cell part structure"
"Aves","telencephalic song nucleus HVC","has part","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","has_part","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","has part","hydrogen atom"
"Aves","telencephalic song nucleus HVC","has_part","hydrogen atom"
"Aves","telencephalic song nucleus HVC","has part","main group molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","main group molecular entity"
"Aves","telencephalic song nucleus HVC","has part","lepton"
"Aves","telencephalic song nucleus HVC","has_part","lepton"
"Aves","telencephalic song nucleus HVC","has part","monoatomic monocation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic monocation"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic monocation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic hydrogen"
"Aves","telencephalic song nucleus HVC","has part","monoatomic hydrogen"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic hydrogen"
"Aves","telencephalic song nucleus HVC","has part","elemental hydrogen"
"Aves","telencephalic song nucleus HVC","has part","elemental hydrogen"
"Aves","telencephalic song nucleus HVC","has_part","elemental hydrogen"
"Aves","telencephalic song nucleus HVC","has part","nonmetal atom"
"Aves","telencephalic song nucleus HVC","has part","nonmetal atom"
"Aves","telencephalic song nucleus HVC","has_part","nonmetal atom"
"Aves","telencephalic song nucleus HVC","has part","monoatomic entity"
"Aves","telencephalic song nucleus HVC","has part","monoatomic entity"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic entity"
"Aves","telencephalic song nucleus HVC","has part","nucleon"
"Aves","telencephalic song nucleus HVC","has part","nucleon"
"Aves","telencephalic song nucleus HVC","has_part","nucleon"
"Aves","telencephalic song nucleus HVC","part of","independent continuant"
"Aves","telencephalic song nucleus HVC","part of","independent continuant"
"Aves","telencephalic song nucleus HVC","part of","anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","brain"
"Aves","telencephalic song nucleus HVC","part of","brain"
"Aves","telencephalic song nucleus HVC","part of","continuant"
"Aves","telencephalic song nucleus HVC","part of","continuant"
"Aves","telencephalic song nucleus HVC","part of","material entity"
"Aves","telencephalic song nucleus HVC","part of","material entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","cellular organism"
"Aves","telencephalic song nucleus HVC","part of","cellular organism"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Metazoa"
"Aves","telencephalic song nucleus HVC","part of","Metazoa"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","central nervous system"
"Aves","telencephalic song nucleus HVC","part of","central nervous system"
"Aves","telencephalic song nucleus HVC","part of","forebrain"
"Aves","telencephalic song nucleus HVC","part of","forebrain"
"Aves","telencephalic song nucleus HVC","part of","gray matter"
"Aves","telencephalic song nucleus HVC","part of","gray matter"
"Aves","telencephalic song nucleus HVC","part of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","part of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","multicellular organism"
"Aves","telencephalic song nucleus HVC","part of","multicellular organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","root"
"Aves","telencephalic song nucleus HVC","part of","root"
"Aves","telencephalic song nucleus HVC","part of","entity"
"Aves","telencephalic song nucleus HVC","part of","entity"
"Aves","telencephalic song nucleus HVC","part of","Opisthokonta"
"Aves","telencephalic song nucleus HVC","part of","Opisthokonta"
"Aves","telencephalic song nucleus HVC","part of","Eumetazoa"
"Aves","telencephalic song nucleus HVC","part of","Eumetazoa"
"Aves","telencephalic song nucleus HVC","part of","organ"
"Aves","telencephalic song nucleus HVC","part of","organ"
"Aves","telencephalic song nucleus HVC","part of","pallium"
"Aves","telencephalic song nucleus HVC","part of","pallium"
"Aves","telencephalic song nucleus HVC","part of","telencephalon"
"Aves","telencephalic song nucleus HVC","part of","telencephalon"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","Unikonta"
"Aves","telencephalic song nucleus HVC","part of","Unikonta"
"Aves","telencephalic song nucleus HVC","part of","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","organism or virus or viroid"
"Aves","telencephalic song nucleus HVC","part of","organism or virus or viroid"
"Aves","telencephalic song nucleus HVC","part of","organismal entity"
"Aves","telencephalic song nucleus HVC","part of","organismal entity"
"Aves","telencephalic song nucleus HVC","part of","multicellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","multicellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","multi-tissue structure"
"Aves","telencephalic song nucleus HVC","part of","multi-tissue structure"
"Aves","telencephalic song nucleus HVC","part of","multi cell part structure"
"Aves","telencephalic song nucleus HVC","part of","multi cell part structure"
"Aves","telencephalic song nucleus HVC","part of","organ system subdivision"
"Aves","telencephalic song nucleus HVC","part of","regional part of nervous system"
"Aves","telencephalic song nucleus HVC","part of","regional part of brain"
"Aves","telencephalic song nucleus HVC","part of","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","part of","brain gray matter"
"Aves","telencephalic song nucleus HVC","part of","nidopallium"
"Aves","telencephalic song nucleus HVC","part_of","independent continuant"
"Aves","telencephalic song nucleus HVC","has part","independent continuant"
"Aves","telencephalic song nucleus HVC","part_of","anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","brain"
"Aves","telencephalic song nucleus HVC","part_of","continuant"
"Aves","telencephalic song nucleus HVC","has part","continuant"
"Aves","telencephalic song nucleus HVC","part_of","material entity"
"Aves","telencephalic song nucleus HVC","has part","material entity"
"Aves","telencephalic song nucleus HVC","part_of","anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","anatomical entity"
"Aves","telencephalic song nucleus HVC","part_of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part_of","cellular organism"
"Aves","telencephalic song nucleus HVC","part_of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part_of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part_of","Metazoa"
"Aves","telencephalic song nucleus HVC","part_of","nervous system"
"Aves","telencephalic song nucleus HVC","part_of","central nervous system"
"Aves","telencephalic song nucleus HVC","part_of","forebrain"
"Aves","telencephalic song nucleus HVC","part_of","gray matter"
"Aves","telencephalic song nucleus HVC","has part","gray matter"
"Aves","telencephalic song nucleus HVC","part_of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","electron"
"Aves","telencephalic song nucleus HVC","has part","proton"
"Aves","telencephalic song nucleus HVC","has part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has part","molecule"
"Aves","telencephalic song nucleus HVC","part_of","organism"
"Aves","telencephalic song nucleus HVC","has part","cellular_component"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","multicellular organism"
"Aves","telencephalic song nucleus HVC","part_of","organism"
"Aves","telencephalic song nucleus HVC","has part","chemical entity"
"Aves","telencephalic song nucleus HVC","has part","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","part_of","root"
"Aves","telencephalic song nucleus HVC","part_of","entity"
"Aves","telencephalic song nucleus HVC","has part","entity"
"Aves","telencephalic song nucleus HVC","has part","ion"
"Aves","telencephalic song nucleus HVC","has part","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","has part","hydron"
"Aves","telencephalic song nucleus HVC","has part","monoatomic cation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic cation"
"Aves","telencephalic song nucleus HVC","has part","cation"
"Aves","telencephalic song nucleus HVC","part_of","Opisthokonta"
"Aves","telencephalic song nucleus HVC","part_of","Eumetazoa"
"Aves","telencephalic song nucleus HVC","part_of","organ"
"Aves","telencephalic song nucleus HVC","part_of","pallium"
"Aves","telencephalic song nucleus HVC","part_of","telencephalon"
"Aves","telencephalic song nucleus HVC","has part","neuronal cell body"
"Aves","telencephalic song nucleus HVC","has part","cell body"
"Aves","telencephalic song nucleus HVC","part_of","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","part_of","anatomical system"
"Aves","telencephalic song nucleus HVC","part_of","Unikonta"
"Aves","telencephalic song nucleus HVC","part_of","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","has part","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","part_of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part_of","anatomical system"
"Aves","telencephalic song nucleus HVC","part_of","nervous system"
"Aves","telencephalic song nucleus HVC","has part","molecular entity"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","part_of","organism or virus or viroid"
"Aves","telencephalic song nucleus HVC","part_of","organismal entity"
"Aves","telencephalic song nucleus HVC","part_of","multicellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","multi-tissue structure"
"Aves","telencephalic song nucleus HVC","part_of","multi cell part structure"
"Aves","telencephalic song nucleus HVC","has part","multi cell part structure"
"Aves","telencephalic song nucleus HVC","part of","organ system subdivision"
"Aves","telencephalic song nucleus HVC","part_of","organ system subdivision"
"Aves","telencephalic song nucleus HVC","part of","regional part of nervous system"
"Aves","telencephalic song nucleus HVC","part_of","regional part of nervous system"
"Aves","telencephalic song nucleus HVC","part of","regional part of brain"
"Aves","telencephalic song nucleus HVC","part_of","regional part of brain"
"Aves","telencephalic song nucleus HVC","part of","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","part_of","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","has part","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","part of","brain gray matter"
"Aves","telencephalic song nucleus HVC","part_of","brain gray matter"
"Aves","telencephalic song nucleus HVC","part of","nidopallium"
"Aves","telencephalic song nucleus HVC","part_of","nidopallium"
"Aves","telencephalic song nucleus HVC","has part","hydrogen atom"
"Aves","telencephalic song nucleus HVC","has part","main group molecular entity"
"Aves","telencephalic song nucleus HVC","has part","lepton"
"Aves","telencephalic song nucleus HVC","overlaps","independent continuant"
"Aves","telencephalic song nucleus HVC","overlaps","cell"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical structure"
"Aves","telencephalic song nucleus HVC","overlaps","brain"
"Aves","telencephalic song nucleus HVC","overlaps","continuant"
"Aves","telencephalic song nucleus HVC","overlaps","material entity"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical entity"
"Aves","telencephalic song nucleus HVC","overlaps","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","overlaps","material anatomical entity"
"Aves","telencephalic song nucleus HVC","overlaps","electrically active cell"
"Aves","telencephalic song nucleus HVC","overlaps","eukaryotic cell"
"Aves","telencephalic song nucleus HVC","overlaps","electrically responsive cell"
"Aves","telencephalic song nucleus HVC","overlaps","electrically signaling cell"
"Aves","telencephalic song nucleus HVC","overlaps","neuron"
"Aves","telencephalic song nucleus HVC","overlaps","neural cell"
"Aves","telencephalic song nucleus HVC","overlaps","cellular organism"
"Aves","telencephalic song nucleus HVC","overlaps","cellular organisms"
"Aves","telencephalic song nucleus HVC","overlaps","Eukaryota"
"Aves","telencephalic song nucleus HVC","overlaps","Metazoa"
"Aves","telencephalic song nucleus HVC","overlaps","nervous system"
"Aves","telencephalic song nucleus HVC","overlaps","central nervous system"
"Aves","telencephalic song nucleus HVC","overlaps","forebrain"
"Aves","telencephalic song nucleus HVC","overlaps","gray matter"
"Aves","telencephalic song nucleus HVC","overlaps","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","overlaps","electron"
"Aves","telencephalic song nucleus HVC","overlaps","proton"
"Aves","telencephalic song nucleus HVC","overlaps","atomic nucleus"
"Aves","telencephalic song nucleus HVC","overlaps","subatomic particle"
"Aves","telencephalic song nucleus HVC","overlaps","atom"
"Aves","telencephalic song nucleus HVC","overlaps","molecule"
"Aves","telencephalic song nucleus HVC","overlaps","organism"
"Aves","telencephalic song nucleus HVC","overlaps","cellular_component"
"Aves","telencephalic song nucleus HVC","overlaps","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","overlaps","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","overlaps","multicellular organism"
"Aves","telencephalic song nucleus HVC","overlaps","organism"
"Aves","telencephalic song nucleus HVC","overlaps","chemical entity"
"Aves","telencephalic song nucleus HVC","overlaps","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","overlaps","root"
"Aves","telencephalic song nucleus HVC","overlaps","entity"
"Aves","telencephalic song nucleus HVC","overlaps","ion"
"Aves","telencephalic song nucleus HVC","overlaps","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","overlaps","hydron"
"Aves","telencephalic song nucleus HVC","overlaps","monoatomic cation"
"Aves","telencephalic song nucleus HVC","overlaps","monoatomic ion"
"Aves","telencephalic song nucleus HVC","overlaps","inorganic ion"
"Aves","telencephalic song nucleus HVC","overlaps","inorganic cation"
"Aves","telencephalic song nucleus HVC","overlaps","cation"
"Aves","telencephalic song nucleus HVC","overlaps","Opisthokonta"
"Aves","telencephalic song nucleus HVC","overlaps","Eumetazoa"
"Aves","telencephalic song nucleus HVC","overlaps","organ"
"Aves","telencephalic song nucleus HVC","overlaps","pallium"
"Aves","telencephalic song nucleus HVC","overlaps","telencephalon"
"Aves","telencephalic song nucleus HVC","overlaps","somatodendritic compartment"
"Aves","telencephalic song nucleus HVC","overlaps","neuronal cell body"
"Aves","telencephalic song nucleus HVC","overlaps","cell body"
"Aves","telencephalic song nucleus HVC","overlaps","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical system"
"Aves","telencephalic song nucleus HVC","overlaps","Unikonta"
"Aves","telencephalic song nucleus HVC","overlaps","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","overlaps","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical entity"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical system"
"Aves","telencephalic song nucleus HVC","overlaps","nervous system"
"Aves","telencephalic song nucleus HVC","overlaps","molecular entity"
"Aves","telencephalic song nucleus HVC","overlaps","atom"
"Aves","telencephalic song nucleus HVC","has part","elemental molecular entity"
"Aves","telencephalic song nucleus HVC","has part","elemental molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","elemental molecular entity"
"Aves","telencephalic song nucleus HVC","has part","main group element atom"
"Aves","telencephalic song nucleus HVC","has part","main group element atom"
